outcome,outcome_label,outcome_unit,pool,pool_label,anomes,actual_value,synth_value,effect_value,actual_index,synth_index,effect_index
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202503,1738.0,1927.220042136794,-189.2200421367941,81.25292192613371,90.09911370438496,-8.846191778251239
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202504,1691.0,1930.4776708123504,-239.4776708123504,79.05563347358579,90.2514105101613,-11.19577703657552
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202505,1662.0,1927.4777335159563,-265.4777335159565,77.69985974754559,90.11116098718824,-12.411301239642654
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202506,1609.0,1920.3025098055564,-311.3025098055564,75.22206638616176,89.77571340839441,-14.553647022232653
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202507,1476.0,1798.2700617008868,-322.2700617008868,69.00420757363254,84.07059661995731,-15.066389046324772
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202508,1413.0,1781.6780941744814,-368.67809417448143,66.05890603085554,83.29490856355687,-17.236002532701335
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202509,1400.0,1758.603927244654,-358.603927244654,65.4511453950444,82.21617238170425,-16.765026986659848
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202510,1333.0,1693.92745385133,-360.92745385133,62.31884057971014,79.19249433620055,-16.873653756490413
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202511,1262.0,1653.074315296687,-391.074315296687,58.999532491818606,77.28257668521212,-18.283044193393515
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202512,1347.0,1677.2296817578858,-330.2296817578858,62.97335203366059,78.41185982972819,-15.438507796067595
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202601,1313.0,1673.7841562063986,-360.7841562063986,61.3838242169238,78.25077869127624,-16.86695447435244
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202602,1240.0,1630.986770208078,-390.9867702080781,57.971014492753625,76.24996588163057,-18.278951388876948
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202603,1296.0,1608.3336980368788,-312.3336980368788,60.5890603085554,75.190916224258,-14.601855915702608
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202302,42758.0,42538.45997333642,219.540026663577,95.9797077375474,95.48690200304478,0.4928057345026388
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202303,42664.0,42777.33814144706,-113.33814144705684,95.76870412354936,96.0231164368382,-0.2544123132888529
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202304,42951.0,43003.746942695376,-52.746942695375765,96.4129385620328,96.53134064220382,-0.118402080171009
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202305,43194.0,43060.0748977779,133.92510222209967,96.9584053514108,96.65778108998607,0.3006242614247156
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202306,43208.0,43078.33172141564,129.66827858435863,96.98983142158072,96.6987625343232,0.2910688872575377
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202307,43314.0,43138.33542911348,175.66457088651805,97.22777166715302,96.8334540149352,0.3943176522178362
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202308,43253.0,43233.72124790579,19.278752094207448,97.09084378998406,97.04756840311968,0.04327538686438
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202309,43271.0,43337.38114902307,-66.3811490230728,97.1312487373454,97.28025578357106,-0.1490070462256625
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202310,43498.0,43506.4018870674,-8.401887067397183,97.64080001795776,97.65965989599631,-0.0188598780385547
